fly_id,Genotype,Sex,Treatment,Mesor_mean_Z,Mesor_sd_Z,Amp_mean_Z,Amp_sd_Z,Phase_mean_Z,Phase_sd_Z,total_sleep_mean_Z,day_sleep_mean_Z,night_sleep_mean_Z,total_bouts_mean_Z,day_bouts_mean_Z,night_bouts_mean_Z,mean_bout_mean_Z,max_bout_mean_Z,mean_day_bout_mean_Z,max_day_bout_mean_Z,mean_night_bout_mean_Z,max_night_bout_mean_Z,frag_bouts_per_hour_mean_Z,frag_bouts_per_min_sleep_mean_Z,mean_wake_bout_mean_Z,P_wake_mean_Z,P_doze_mean_Z,sleep_latency_mean_Z,WASO_mean_Z
6-7,Fmn,Female,2mM His,-0.1796033882809732,0.41992576828392053,-0.13675554213932112,-0.1056559345839786,0.054233282791964474,1.2365996893784303,0.05780251041442531,0.7459634445097865,-0.033402345174457185,1.8215592228893738,2.1869887399753085,1.4933678124628371,-0.4449241505135683,-0.46728490831727965,0.09770781288575697,-0.0260024997579989,-0.43084808907157224,-0.4522257775081851,1.7978930166611637,0.029007490997795562,-0.9409642319674257,0.04458881951903101,1.3206887952290791,-0.8757409516916705,0.7973393010515687
6-9,Fmn,Female,VEH,1.9993224845089828,2.900375341034959,1.7731953847457957,0.3114143383299306,0.11021609250193304,0.9778709535138508,-0.35949869542506163,-0.6045991664305251,-0.30439863054804916,0.5281799860293495,-0.7367929979595959,0.8512125180449901,-0.4967792990215558,-0.4860296826263366,-0.2910231533303366,-0.3049697157047428,-0.4982558586345704,-0.4710165081795845,0.510957533357447,0.41328208121484145,-0.8190683567476938,0.425184988779472,0.18543229905686479,-0.45856132133102523,0.7834149619871883
6-10,Iso,Female,2mM His,-0.45800630665410774,-0.6848072104678198,-0.7057575351419971,-0.5680090412789648,-2.217307356196609,-0.4818765330841515,-0.8523207691426924,-0.6450351727461032,-0.8217551753521793,-1.2765352281939402,-0.853744267476992,-1.2536298358801745,-0.6131832250392026,-0.6333100521974986,-1.2180445354036917,-0.5632726934332094,-0.5941565955755999,-0.6186579634548653,-1.271087331010173,1.0764963253141535,2.2815880849324803,1.082050696607271,-1.1822774690474134,1.0842448025845248,-0.9900394952125352
6-11,Iso,Female,8mM His,0.41393254325725204,1.312773549087425,-0.11777837100519237,0.1856711162756172,-1.257250228491518,0.7115699313350572,-0.8213378489875565,-0.450942342431328,-0.8135431667044948,-1.1261422936753327,-0.3859391894074073,-1.2179545417458497,-0.5944580157522089,-0.626615489944264,-0.1056188769156656,-0.14998792906766287,-0.563817492813943,-0.6186579634548653,-1.1370002548230513,0.9166626537565803,1.492841552232246,0.9237470130894908,-1.0862485476420862,-0.6906648974953115,1.7695113375464924
6-12,Iso,Female,VEH,-0.2896837641438962,-0.6640468829985456,-0.8017579291742011,-0.6459184355113415,-0.643139036199107,1.6276246326668988,-0.8590982829266284,-0.6450351727461032,-0.8289406829189034,-1.3066138150976618,-0.853744267476992,-1.2893051300144993,-0.6693588529001835,-0.6600883012104372,-1.2180445354036917,-0.5632726934332094,-0.639665249718085,-0.6455018644140074,-1.31174474225737,1.7158310115444504,2.32707086986217,1.7152654306783952,-1.2112851520353112,-0.8347814970744435,1.9847056685414624
6-13,SSS,Female,2mM His,1.6363020630792569,1.7150385696368233,2.659411728352958,2.9390699820067585,0.3136280804947015,-0.801760795221408,0.16430629844770503,-0.6126863676936407,0.25196495533258284,1.3102232455261085,-0.853744267476992,1.8144454596717607,-0.3099366020316831,-0.2557367411150651,-1.2180445354036917,-0.5632726934332094,-0.34849230642020584,-0.24015895993096348,1.314316965605405,-0.3487067266703657,-0.8898445104289288,-0.3448294868550024,0.9840368169922259,-0.6967329648460118,0.2960630947338738
6-14,SSS,Female,8mM His,-0.9623418585206076,-0.725621156869868,-0.5781344788462043,-0.6266424524362637,0.9831381821034839,-0.8748479865179515,2.015535777717076,1.8539100175566288,1.901552192436228,1.2801446586223866,2.5378425485274967,0.7441866356420156,1.0296293458259627,2.0257700747872986,1.3494515419368072,1.6478007959224643,1.3847438882349963,2.0469414017879326,1.30825954438264,-1.5288316525782033,-0.9626379623580695,-1.531454943563659,1.7997461240196106,-0.9788980966535755,-1.502708342582905
6-15,SSS,Female,VEH,2.686527981191247,4.038860240568369,2.0264803785291066,1.790506071281302,0.6107805168729799,0.32613787240456954,-0.1706965257297022,-0.12745429190670243,-0.16479448353741086,0.25747270389585597,0.19881715817957352,0.2447325177614683,-0.2646435482481705,-0.31531834516885343,0.33935138647954494,-0.04666673797627625,-0.2721511585890452,-0.2998866395650544,0.29497412223854536,-0.43320891775588033,0.024544545556897477,-0.4233943041270654,0.2550540359999119,0.005266576788128628,-0.04856429710954134
6-16,Rye,Female,2mM His,-0.35989273654381543,-0.6183768295514765,-0.7021514960524167,-0.5928158184287012,0.6492164444601167,-0.24139616636251324,-0.8223060652424046,-0.5884247639042938,-0.7971191494091256,-1.1261422936753327,-0.7367929979595959,-1.110928659342875,-0.5991393180739574,-0.6400046144507332,0.07978539949900543,-0.2016485246133562,-0.5941565955755999,-0.627605930441246,-1.1254669248149072,1.0349810859485513,0.8256813938933545,1.040932856732524,-1.0791227892466793,0.7252174843347572,0.19563907360288776
6-17,Rye,Female,8mM His,2.0071707875494957,0.7928453013071175,1.0319926780630928,1.1055767596309496,-0.7766124068016355,0.9385486835675826,-0.6945015196024689,-0.515639952536253,-0.6708595164509746,-0.6749634901195103,-0.5028904589248034,-0.6471498355966525,-0.48411303245385373,-0.532891618398979,-0.15196994601933336,-0.2533091201590495,-0.4822811541419903,-0.517993334858083,-0.6597723812087499,0.32502582073141456,0.2928684969954468,0.3377735504268304,-0.7321606263742322,0.35986926259467716,0.4356229476291412
